probe_family,family,tasks,exhaustive_evaluator_s,harmora_screen_all_s,shortlist_evaluator_s,hybrid_total_s,hybrid_speedup,runtime_reduction,tasks_with_break_even
classification,Classification,3,64.17166670085862,10.17677109997021,2.8368342999601737,13.013605399930384,4.931121294118992,0.7972063674051922,3
clustering,Clustering,3,695.5067937999702,15.130165799666429,36.35875519999536,51.48892099966179,13.50789218916704,0.9259692048177603,3
pair_classification,Pair classification,1,0.5959370001219213,20.66123389996937,0.0327509999915491,20.69398489996092,0.028797595195067853,-33.72512177583736,0
sts,STS,4,2.024470600183122,81.69116840002243,0.1083179998968261,81.79948639991926,0.024749184735530564,-39.405371356106706,0
