family,depth_bin,depth_center,mean_harmonic_mode,harmonic_mode_spread,n_tasks
Classification,0,0.045454545454545456,16.467472709917004,17.3254348251596,3
Classification,1,0.13636363636363635,16.766013515501516,17.6760762543375,3
Classification,2,0.22727272727272727,16.67491628524477,17.61205499517513,3
Classification,3,0.3181818181818182,16.00438740589252,17.24645018284453,3
Classification,4,0.4090909090909091,15.151138832699196,16.892448809390075,3
Classification,5,0.5,14.911430038036235,16.646134036423806,3
Classification,6,0.5909090909090908,14.43750922228387,16.52243486145455,3
Classification,7,0.6818181818181819,14.442540903589915,16.484098762717313,3
Classification,8,0.7727272727272727,14.856503896794719,16.69078323637579,3
Classification,9,0.8636363636363638,15.907355306771656,16.886280047672866,3
Classification,10,0.9545454545454546,18.614053357121445,17.72821316844479,3
Clustering,0,0.045454545454545456,19.119102634393833,20.791199194577757,3
Clustering,1,0.13636363636363635,17.881334550270225,20.502230840217283,3
Clustering,2,0.22727272727272727,16.95255618925353,20.107209312042823,3
Clustering,3,0.3181818181818182,16.099441727960627,19.492246180094057,3
Clustering,4,0.4090909090909091,15.290275956305287,18.933909455613744,3
Clustering,5,0.5,15.638259907771697,19.07666306262544,3
Clustering,6,0.5909090909090908,15.929348686207481,19.12718436190004,3
Clustering,7,0.6818181818181819,15.657240253643728,18.956267020547312,3
Clustering,8,0.7727272727272727,16.426202617227272,19.328979927263365,3
Clustering,9,0.8636363636363638,17.267500345832335,19.710899166320726,3
Clustering,10,0.9545454545454546,22.25465300706325,21.86004690608489,3
Pair classification,0,0.045454545454545456,14.90105778791037,18.751857758167723,1
Pair classification,1,0.13636363636363635,14.914875927393032,19.01009052597595,1
Pair classification,2,0.22727272727272727,14.875140355673064,18.94552746286285,1
Pair classification,3,0.3181818181818182,14.175324067107262,18.434172170787896,1
Pair classification,4,0.4090909090909091,13.02680839419856,17.65264799713534,1
Pair classification,5,0.5,12.882210839764673,17.500237010838998,1
Pair classification,6,0.5909090909090908,12.298966333471647,17.311320591862334,1
Pair classification,7,0.6818181818181819,12.515029488427071,17.277871838205158,1
Pair classification,8,0.7727272727272727,12.751056227988814,17.51353126436208,1
Pair classification,9,0.8636363636363638,14.771943070572068,18.40050344380171,1
Pair classification,10,0.9545454545454546,18.41422104729753,19.981738908483376,1
Semantic textual similarity,0,0.045454545454545456,18.454228792008003,20.416407477287706,4
Semantic textual similarity,1,0.13636363636363635,18.505994621492416,20.80989111376077,4
Semantic textual similarity,2,0.22727272727272727,17.870644407472046,20.48683685229806,4
Semantic textual similarity,3,0.3181818181818182,16.709408728968018,19.836021611717943,4
Semantic textual similarity,4,0.4090909090909091,15.23696401225681,19.111827112241897,4
Semantic textual similarity,5,0.5,14.737332750522636,18.817849562791608,4
Semantic textual similarity,6,0.5909090909090908,13.931086394587092,18.37139677616681,4
Semantic textual similarity,7,0.6818181818181819,13.749602629897497,18.269225797503907,4
Semantic textual similarity,8,0.7727272727272727,14.173775213093398,18.552404134104556,4
Semantic textual similarity,9,0.8636363636363638,16.142030222993434,19.465114918900948,4
Semantic textual similarity,10,0.9545454545454546,20.892873925986652,21.415420721378474,4
