family,tasks,layer_candidates,early_mean_mode,early_mode_spread,middle_mean_mode,middle_mode_spread,late_mean_mode,late_mode_spread,K90_availability,median_K90,K95_availability,median_K95
Classification,3,318,16.66059948108151,17.52528455732656,15.10761324225674,16.781584567643268,16.31184174091617,17.047872584093565,1.0,44.5,1.0,59.0
Clustering,3,318,18.13111839529381,20.50474037528998,15.72974013130056,19.115884901520953,18.742005786686665,20.328925959574796,1.0,51.0,1.0,64.0
Pair classification,1,106,14.90998311407264,18.898482332705864,13.10105697846185,17.68866505367679,15.233928860097107,18.553327390534992,1.0,46.0,1.0,60.0
Semantic textual similarity,4,424,18.324312457080683,20.563173392848903,15.025054887992564,18.96467918999293,16.984661682004386,19.724158016588255,1.0,51.0,1.0,64.0
