family,tasks,fixed_K,fixed_alignment,fixed_seed_variance,best_displayed_K,best_displayed_alignment,gap_to_best_displayed
Classification,3,10,0.31522146200261986,0.01617692969299812,47,0.32653393031225225,0.011312468309632395
Clustering,3,10,0.4626411735262667,8.977816877550229e-05,35,0.49079423681908163,0.028153063292814917
Pair classification,1,10,0.49216398508323983,0.0,44,0.5184692326307234,0.02630524754748359
Semantic textual similarity,4,10,0.482625992020402,0.0,47,0.5500974956720298,0.0674715036516278
