family,depth_bin,depth_center,K,normalized_mode_energy,n_tasks
Classification,0,0.045454545454545456,1,0.19673888621264693,3
Classification,0,0.045454545454545456,2,0.06845538056838003,3
Classification,0,0.045454545454545456,3,0.05220765729678647,3
Classification,0,0.045454545454545456,4,0.04323363969961844,3
Classification,0,0.045454545454545456,5,0.03783071474421119,3
Classification,0,0.045454545454545456,6,0.03400546840802241,3
Classification,0,0.045454545454545456,7,0.030247931813786585,3
Classification,0,0.045454545454545456,8,0.027092341643336588,3
Classification,0,0.045454545454545456,9,0.024673317729502296,3
Classification,0,0.045454545454545456,10,0.022790601061064564,3
Classification,0,0.045454545454545456,11,0.021285178541586097,3
Classification,0,0.045454545454545456,12,0.02014268221678799,3
Classification,0,0.045454545454545456,13,0.01839387909575641,3
Classification,0,0.045454545454545456,14,0.017651222594481004,3
Classification,0,0.045454545454545456,15,0.016730606592530128,3
Classification,0,0.045454545454545456,16,0.01565362962776436,3
Classification,0,0.045454545454545456,17,0.01501522324928005,3
Classification,0,0.045454545454545456,18,0.014008232858969466,3
Classification,0,0.045454545454545456,19,0.013556849326511453,3
Classification,0,0.045454545454545456,20,0.01268579946154911,3
Classification,0,0.045454545454545456,21,0.012118713364946736,3
Classification,0,0.045454545454545456,22,0.011529975717676874,3
Classification,0,0.045454545454545456,23,0.01118230880142892,3
Classification,0,0.045454545454545456,24,0.010846179232248123,3
Classification,0,0.045454545454545456,25,0.010393916276813324,3
Classification,0,0.045454545454545456,26,0.010112137389959523,3
Classification,0,0.045454545454545456,27,0.009666969328946865,3
Classification,0,0.045454545454545456,28,0.00910876583771665,3
Classification,0,0.045454545454545456,29,0.008854853609806182,3
Classification,0,0.045454545454545456,30,0.008648663906855055,3
Classification,0,0.045454545454545456,31,0.008277017883427296,3
Classification,0,0.045454545454545456,32,0.008003219161411336,3
Classification,0,0.045454545454545456,33,0.007836373193647399,3
Classification,0,0.045454545454545456,34,0.007485226485641026,3
Classification,0,0.045454545454545456,35,0.007176377444392073,3
Classification,0,0.045454545454545456,36,0.007034097018361974,3
Classification,0,0.045454545454545456,37,0.006965888768422044,3
Classification,0,0.045454545454545456,38,0.006674732325859428,3
Classification,0,0.045454545454545456,39,0.006424434010319388,3
Classification,0,0.045454545454545456,40,0.0061882250456458615,3
Classification,0,0.045454545454545456,41,0.006167238590692556,3
Classification,0,0.045454545454545456,42,0.006030179133720595,3
Classification,0,0.045454545454545456,43,0.005636212834566518,3
Classification,0,0.045454545454545456,44,0.0057348458919784665,3
Classification,0,0.045454545454545456,45,0.005728555541792804,3
