fraction,outcome,n_tasks,mean_correlation,median_correlation,bootstrap_ci_low,bootstrap_ci_high
0.25,spearman_estimated_vs_heldout_energy_variance,11,0.21788316144612024,0.23603595162601373,0.1278504541759765,0.3066205533596838
0.25,spearman_estimated_vs_heldout_score_variance,11,0.10391607263431092,0.1289501182047766,0.017188740677729936,0.18531159128844052
0.5,spearman_estimated_vs_heldout_energy_variance,11,0.24192314179327168,0.25631722314952127,0.16733385657256353,0.3110964615565124
0.5,spearman_estimated_vs_heldout_score_variance,11,0.03571993788255787,0.008429272590763271,-0.051808694975267536,0.12800462242444172
0.75,spearman_estimated_vs_heldout_energy_variance,11,0.21974255558106492,0.2203052847773345,0.15636469924767496,0.29970082275150034
0.75,spearman_estimated_vs_heldout_score_variance,11,0.06557198307057145,0.02266621577180587,-0.007049434754968338,0.14172062451946701
1.0,spearman_estimated_vs_heldout_energy_variance,0,,,,
1.0,spearman_estimated_vs_heldout_score_variance,0,,,,
