fraction,method,n_tasks,mean_utility_spearman,median_utility_spearman,mean_preference_accuracy,median_preference_accuracy,mean_ndcg_at_k,median_ndcg_at_k,mean_regret_at_1,median_regret_at_1,mean_coverage_regret_at_k,median_coverage_regret_at_k,mean_near_oracle_hit_5pct,median_near_oracle_hit_5pct,mean_rank_reliability,median_rank_reliability,mean_shortlist_jaccard_at_k,median_shortlist_jaccard_at_k,mean_top1_agreement,median_top1_agreement
0.25,adaptive_precision,11,0.49119584933856864,0.5339535247361334,0.6933581143519792,0.7181119377516892,0.8300904248370387,0.8488652941537141,0.1578577218622427,0.14550986192507562,0.026637915728859606,0.01529337584166236,0.8675324675324675,0.8571428571428571,0.989292962260777,0.9937138823909011,0.9312925170068027,0.9333333333333333,0.9584415584415584,0.9428571428571428
0.25,fixed_precision,11,0.4796605002818383,0.5312050185839007,0.6884558786812754,0.7163501550209624,0.8197569468993469,0.8118215838373379,0.16040660717422417,0.15374717748772904,0.02901523971217695,0.01529337584166236,0.8571428571428572,0.8571428571428571,0.9900395223071676,0.9903274241286664,0.9333951762523192,0.9333333333333333,0.942857142857143,0.9428571428571428
0.25,no_precision,11,0.48583311570122745,0.5358461662561042,0.6910341073030787,0.7215720718205191,0.8268245789374112,0.8302862933458665,0.1572020480299151,0.1250295890781078,0.02647869414548942,0.01529337584166236,0.8675324675324675,0.8571428571428571,0.9895889446521857,0.9899973442706363,0.9325293753865183,0.9333333333333333,0.9454545454545454,1.0
0.25,shuffled_precision,11,0.4797992007960952,0.5281650079113434,0.6883618371456965,0.7164074799734427,0.8207759819687749,0.8180181707887791,0.16051730805008207,0.1546082361698264,0.026205911035212134,0.016169455863624053,0.867064935064935,0.8582857142857143,0.9901511970920102,0.9893057866357245,0.9408658008658008,0.9412244897959183,0.9489350649350649,0.9422857142857143
0.5,adaptive_precision,11,0.47959540960932867,0.5205568716997289,0.6896970797107708,0.7173278936384527,0.8139609284085858,0.8200637432429635,0.18307522291159453,0.1717359701192167,0.03127219788973305,0.01675198450204308,0.8467532467532467,0.8571428571428571,0.9950604217916471,0.9957980218539225,0.9571428571428572,0.9571428571428572,0.9740259740259741,1.0
0.5,fixed_precision,11,0.4707256544996055,0.5098542575436986,0.6856244310726294,0.7077487440096135,0.8047603110618275,0.803195058480501,0.19271322910123345,0.18035444064927,0.03073860871564895,0.01529337584166236,0.8467532467532467,0.8571428571428571,0.9948004767677269,0.9950134958209492,0.958008658008658,0.9714285714285714,0.9766233766233767,1.0
0.5,no_precision,11,0.47470893690103805,0.5211120184163663,0.6870408735284954,0.7131530705319525,0.8128765354338252,0.8096008411572088,0.17445331678861506,0.1795155419706933,0.030402972011114318,0.01529337584166236,0.8493506493506492,0.8571428571428571,0.9952423900210462,0.9955345337891923,0.9545454545454546,0.9714285714285714,0.9896103896103896,1.0
0.5,shuffled_precision,11,0.4685726942788299,0.5148614781491802,0.6845824247904967,0.7098648916301089,0.8061692987992963,0.8022596579469382,0.18578779068890727,0.1844913614441919,0.0296036482914357,0.016751984502043085,0.8526753246753246,0.8571428571428571,0.9950326326412153,0.9956258366478242,0.9658082869511442,0.9663401360544217,0.9571688311688312,0.9548571428571427
0.75,adaptive_precision,11,0.45988890634108004,0.4990338109095873,0.6839549030789528,0.7081454404808442,0.7966286511452939,0.7823885983873933,0.202269810384853,0.18192002919514283,0.034012644425518546,0.018460018749404845,0.8441558441558441,0.8571428571428571,0.9974895629497549,0.9975556865494754,0.9714285714285714,0.9714285714285714,0.9844155844155845,1.0
0.75,fixed_precision,11,0.46348732783988206,0.4948046239474811,0.6828918707325192,0.7005665886908122,0.7981345416467979,0.7891505084070565,0.20054867360426762,0.18203223800642337,0.031074245420183586,0.01675198450204308,0.8441558441558441,0.8571428571428571,0.9965994581364428,0.9968011739812982,0.974891774891775,0.9714285714285714,0.9818181818181819,1.0
0.75,no_precision,11,0.4700153654193755,0.5093789440373292,0.6852787731904338,0.7093570570216532,0.8057874890061175,0.7991866005958086,0.19263369404021669,0.1795155419706933,0.031164396465155068,0.01675198450204308,0.8441558441558441,0.8571428571428571,0.9966379397000515,0.9969841090586432,0.9718614718614718,0.9666666666666667,0.9714285714285714,1.0
0.75,shuffled_precision,11,0.4635015903256997,0.5011364223354285,0.6824753368698488,0.7026674700041159,0.8014328993380354,0.7868182456315401,0.1900585444075891,0.17569968746578388,0.03139982657079922,0.016751984502043085,0.850961038961039,0.8571428571428571,0.9970082507441739,0.9975273711381786,0.9795955473098329,0.9793333333333333,0.9782857142857143,0.9822857142857143
1.0,adaptive_precision,11,0.4613239612646232,0.49285435061832583,0.6819784738577452,0.6976275070685009,0.7975413084997814,0.7862393894959717,0.1908060055399309,0.18371003536357675,0.031074245420183586,0.01675198450204308,0.8441558441558441,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
1.0,fixed_precision,11,0.4613239612646232,0.49285435061832583,0.6819784738577452,0.6976275070685009,0.7975413084997814,0.7862393894959717,0.1908060055399309,0.18371003536357675,0.031074245420183586,0.01675198450204308,0.8441558441558441,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
1.0,no_precision,11,0.4686032382921091,0.5015758154888591,0.6845301019853289,0.7021411094081902,0.8035071750851127,0.8064381557986575,0.19992896813973157,0.1795155419706933,0.031074245420183586,0.01675198450204308,0.8441558441558441,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
1.0,shuffled_precision,11,0.4613239612646232,0.49285435061832583,0.6819784738577452,0.6976275070685007,0.7975413084997814,0.7862393894959717,0.1908060055399309,0.18371003536357675,0.031074245420183586,0.016751984502043085,0.8441558441558441,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
