metric,mean_pearson,variance_pearson,mean_spearman,variance_spearman,mean_kendall,variance_kendall,mean_distance,variance_distance,n_seeds,median_spearman,q1,q3,min_spearman,max_spearman,positive_tasks,n_tasks,rank
Harmora,0.4911224436274686,0.0008701020873668575,0.4323868963410461,0.0012615046898417758,0.3407701304515258,0.0008162051921257441,0.6356044913704133,2.9250501163023776e-05,4,0.4634518276754302,0.3112465696000414,0.5121780393519525,0.1540508031313668,0.6928441744590813,11,11,1
Spectral gap,0.37940912667905186,0.00016231137195505402,0.27096309131786267,0.00031458555781762237,0.18752616437696867,0.0002348654287972887,0.6296685426713563,5.470345518887657e-06,4,0.3097369090536793,0.14983412795890788,0.3884169085866554,-0.05988883787020433,0.47960344003822264,10,11,2
Anisotropy,0.35789270270656903,1.2852411614343986e-06,0.22777094190359662,0.00020677523588797603,0.1785716222699708,9.310585130852802e-05,0.6423569112881741,2.7873004857334735e-05,4,0.21459887938148808,0.1657199942914229,0.3142064036814243,0.08116205223348082,0.3600962391645622,11,11,3
Matrix entropy,0.3566643894775473,3.0618003532343583e-06,0.2261017336643093,0.00020765180009577758,0.17494183420273368,0.00013049955265371545,0.6387878385647492,2.2578661840343082e-05,4,0.21756827023907774,0.16362320908904765,0.30281233088351367,0.022845368916797497,0.3860061056955467,11,11,4
Participation ratio,0.3920582792815078,8.672320752123903e-06,0.22360498203083434,1.1673738109272475e-05,0.1529679211918847,1.2188549417386536e-05,0.65759929485307,1.0758208578759918e-05,4,0.2662848331792431,0.103763067870421,0.3473039709906689,-0.13922177201680305,0.47848189078002745,10,11,5
InfoNCE,0.3395792785494891,5.746275502798308e-05,0.21923807165553885,0.000258280259194197,0.1692525455700226,0.00013908518089502856,0.6396897128925828,2.2042441115038326e-05,4,0.2024632510346796,0.16972295437869123,0.2898911311732528,0.03343406593406595,0.3641251295288563,11,11,6
LiDAR,0.16333552294477077,0.000332895843988774,0.13053338821708727,0.0008914533822798413,0.10072898808851373,0.0003984579225635911,0.5771510293791046,4.491050078924183e-05,4,0.11035449023026668,0.015232756374060755,0.20300452722684972,-0.08817078883849071,0.4315069402647043,8,11,7
DiME,0.09813966170841264,3.5450570795658726e-05,0.11186917935795546,6.403588709769633e-05,0.0917204224329366,1.3568470772648679e-05,0.6289580330693055,2.8428321718953645e-05,4,0.11016927172206677,0.04166132004641322,0.17377217518688629,-0.04589987652099449,0.2950471827595906,9,11,8
Curvature,0.09353532905206363,0.00024894100089900513,0.02787386466566089,0.00032554663907904415,0.025469458733091588,0.00022504585962587783,0.6035378158859175,1.611050377812971e-05,4,-0.010792513607154377,-0.23167556046438037,0.27279980888676536,-0.4251330036423205,0.7245855968491812,5,11,9
