metric,ndcg_at_1_mean,ndcg_at_1_variance,ndcg_at_3_mean,ndcg_at_3_variance,selected_percentile_mean,selected_percentile_variance,top1_overlap_mean,top1_overlap_variance,top3_overlap_mean,top3_overlap_variance,top5_overlap_mean,top5_overlap_variance,ndcg_at_5_mean,ndcg_at_5_variance,regret_at_1_mean,regret_at_1_variance,n_seeds,n_tasks,ndcg3_rank
Harmora,0.8432421363072206,0.00026920151224219864,0.795474103197698,0.00012680600643720364,0.8457792207792207,0.0007385387580192757,0.1590909090909091,0.007575757575757573,0.28787878787878785,0.00030609121518212373,0.37272727272727274,0.0005509641873278241,0.7583894377101714,4.4189255366470835e-05,0.07678459489501063,9.326445799494857e-05,4,11,1
Anisotropy,0.7939724382948601,0.0006381958265146132,0.7761428741554811,0.0003375398506248189,0.7814935064935065,0.0014414241362293318,0.09090909090909091,0.0,0.08333333333333333,0.0008417508417508417,0.17272727272727273,0.0005509641873278235,0.7634527166674716,0.0002482480480183816,0.07302939971071908,0.0001871050467895307,4,11,2
Matrix entropy,0.7916083144797157,0.0008952975476939532,0.7696794225250475,0.0003844503615572015,0.7897186147186147,0.001518509148379279,0.0,0.0,0.08333333333333333,0.0008417508417508417,0.18181818181818182,0.00022038567493112965,0.7503175502980683,0.0003035056986168456,0.0741611418698768,0.00023179127959994112,4,11,3
InfoNCE,0.7362199838177419,0.0003492570350144523,0.7572859743165817,0.00023754771313574702,0.7413419913419914,0.0015110286538857984,0.0,0.0,0.08333333333333333,0.0008417508417508417,0.18181818181818182,0.00022038567493112965,0.7442405698266582,0.00021155956140903585,0.10288363997732199,0.00011721853777433633,4,11,4
Spectral gap,0.6992002998766287,0.0005354275412815954,0.7378168602248432,0.00025385073162283666,0.7033549783549784,0.0019947620921646893,0.09090909090909091,0.0,0.09848484848484848,0.00022956841138659296,0.21363636363636362,0.00030303030303030325,0.7667790014251159,0.0001296993088066431,0.10649558793096799,0.0001324840180149172,4,11,5
Participation ratio,0.7238222798824034,7.441912548222588e-05,0.7195761409324835,0.0002350924193665153,0.7665584415584416,0.000728668878019527,0.0,0.0,0.007575757575757575,0.00022956841138659315,0.10454545454545455,0.0003030303030303033,0.7434334332522947,0.00011069153267675378,0.09008214198732517,4.0441307919163035e-05,4,11,6
DiME,0.613005344163876,0.0008086826713858733,0.6396137226155464,0.0005883787550693601,0.5544372294372295,0.00042807481119169506,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.6447564520886894,0.0007849246474453224,0.14034858851144455,0.00010710474047490898,4,11,7
LiDAR,0.5389226035437868,0.001075286992462539,0.6011318877643956,0.0011524244955076898,0.44978354978354973,0.001224989536677848,0.0,0.0,0.01515151515151515,0.0009182736455463727,0.03181818181818182,0.0003030303030303032,0.6244552208143201,0.000971146268925009,0.1594656238079078,9.859536686225969e-05,4,11,8
Curvature,0.5474173638397234,0.0005340892177919366,0.5914157009896353,0.00022461815417631928,0.45259740259740255,0.0007914019602331298,0.045454545454545456,0.0027548209366391185,0.13636363636363635,0.000306091215182124,0.1409090909090909,0.0005234159779614326,0.5866620296942135,0.00012351776605059887,0.16677863130157478,0.00012138164303709285,4,11,9
